W64, 1v16=1, 8v9=9, 5v12=12, 4v13=4, 6v11=11, 3v14=3, 7v10=7, 2v15=2
W32, 1v9=1, 4v12=4, 3v11=3, 2v7=2
W16, 1v4=4, 2v3=2
W8, 2v4=2
E64, 1v16=1, 8v9=8, 5v12=5, 4v13=4, 6v11=6, 3v14=3, 7v10=7, 2v15=15
E32, 1v8=8, 4v5=4, 3v6=3, 7v15=15
E16, 4v8=8, 3v15=15
E8, 8v15=8
S64, 1v16=1, 8v9=9, 5v12=5, 4v13=4, 6v11=11, 3v14=3, 7v10=7, 2v15=2
S32, 1v9=1, 4v5=5, 3v11=11, 2v7=2
S16, 1v5=5, 2v11=2
S8, 2v5=2
M64, 1v16=1, 8v9=9, 5v12=12, 4v13=4, 6v11=11, 3v14=3, 7v10=10, 2v15=2
M32, 1v9=1, 4v12=4, 3v11=11, 2v10=10
M16, 1v4=1, 10v11=10
M8, 1v10=1
F4, W2vE8=E8, M1vS2=M1
F2, E8vM1=M1